Post,Label
"Hello all, I'm new here and have recently left a long term physically and emotionally abusive relationship. I feel lost and confused as a part of me still loves and misses him but I'm fully aware that his actions and behavior were extremely narcissistic and abusive. How do I move past? How do I stop thinking about him? ",1
"Hi Members,  I'm a 20 year old Tunisian woman who has been physically, emotionally and coercively abused by her parents. Diagnosed with PTSD and having a chronic disease, I m seeking organizations who can offer me a safe shelter outside my country since it's not safe for me here. Do you know any organizations that can help me ?",1
"Me and my child's father had a little disagreement and I don't know if he slapped me or punched me it all happened so fast but my jaw is out of place, I can't really close my mouth I'm not in much pain but it does bother me I can feel that something is wrong with it when I bite down. My head also feels weird. 10 minutes later things got worse I ended up grabbing a knife and he grabbed his gun. He told me he would blow my brains out. My 5 month old is in the other room crying from being in pain with constipation I was scared. I need some strength, I need some help.. I need to know that I will be alright without this man. I have to go",1
"My ex boyfriend wants me back in his life, I'm scared and I keep saying no. He keeps pressuring me to go back to him. During the 1 year of having a relationship with him. He was controlling,  abusive physically, sexually and mentally. I'm having bad anxiety and nightmares.",1
My husband works and I'm a stay at home mum who is also currently pregnant. My husband is a domestic abuser. Can he legally stop my access to our money if only his name is on the account? He is now asking for his consent to purchase anything.,1
"When does the abuse actually stop when the protective orders essentially only stops someone from threatening to kill you or physical violence? My abuser harasses and provoked me through parenting app, him and his parents stalk me through forcing FaceTime with the kids to track our location every day of the week. I can’t work because my kids are bound to visitation and I am being harassed and provoked daily and my kids are deeply suffering, yet all I can afford is the numerous lawsuits my abuser and his parents file against me. I am SO tired, I am alone in the US with my whole family abroad and my beautiful kids are being told that liars will burn in hell every day (their dad tells everyone I am a liar). I really thought the abuse would end once I spoke out, it’s just changing forms and his parents are helping him abuse me.",1
I went through almost 8 yrs of abuse and been parted for 3 yrs he put court papers on me and we start court in 2 months. His affidavit is full of lies and says I abused him and the kids. I can't evan deal how do I stand in court without breaking down from the ptsd? How can he say I was the one who abused my kids? How do I prove his lies? He doesn't care about the kids it's all for his sense of winning. I have to pay its gunna put me in a hole. I have to take time off work. This is all too much for me.,1
I want to leave but my husband is so controlling and domenering that he says he would fight for the kids and the kids said they want to stay with him. So I’m trapped,1
"He choked me on April 1st. He constantly talks down to me. He threatens or beats me when I confront him about lies he constantly tells me. I found a hotel key in the car on Thursday he swears a friend left it in his car. He complains because I won't have sex with him because I have osteoarthritis in my right knee. He officially left Sunday, yet left a ton of stuff he says I can just throw it away. I dont understand why my heart is broken, I wanted him to leave, but I miss him and I'm 43 I'll be alone for the rest of my life. I can't stop crying what is wrong with me. Why do I love the man that almost killed me?",1
"Hi everyone !
My abusive partner who is emotionally verbally and psycologically abusive. He always try to win the conversation over me by his manipulative ways.
Now when i have go no contact with him 
He wants to go for marriage counselling with me.
Please Advice how to deal with it?",1
"Hi 
I’ve never posted here before 
Am sorry I don’t know whether I should be but
My partner financially abuses me, he has physically abused me but not for like 5 years anyways me and my 2 children usually put all our money together to pay bills and food but I’ve had to buy food for my partner also and cigs and petrol clothes basically everything as he has never mucked in or bought anything
Anyway my son who is autistic said on Friday you not having my money no more cos I’m saving so now me and my daughter who has learning disability are meant to pay for everything between us. I tried explain to my son but he not listen to me cos he’s seen that my partner won’t pay so he thinks why should he and now we in big mess and don’t know what to do 
Any advice pleas",1
Today my husband told me he wish I would jump off a bridge and I work long hours and come home around 2 am in the morning and expects me to wake up and do everything and when I explain that I need rest then he gets mad. We have 4 kids together and we've been married for 12 years and now I always feel sick and have chest pain and I just want to give up and just jump. Plus I hate him and love him so much and yet I continue to stay despite everything and talking about my body so I don't eat a lot anymore and i wish i would die.,1
Bro Does anybody have this problem when they’ve been abused I got out of a domestic violence relationship everyone just believes the abuser I don’t have no friends I literally have no one I have no life because of him ,1
Struggling so much and I really need support/advice on how to get through feeling so guilty. I feel so guilty for calling the cops on my now ex boyfriend but I know it needed to happen bc the physical abuse wasn’t stopping. I know I deserve better but the emotional attachment is still there and I’m hurting so much.,1
"ן was physically&mentally abused by my children's father for 5 years... the first time he physically abused me was in 2017 when my son was 4 months old, he choked me in my closet and from then it just got worse he ALWAYS did it in front of my kids, he had no care for what they saw.The last straw for me was last month when he strangled me so hard that i blacked out and urinated on myself. ן was out for about 5 minutes and yes he did this to me infront of my kids... it is so sad for me to say that my children dont even cry or scream anymore because well i believe they was use to seeing us fight. He would pull my hair&drag me across the floor, he would slap me, he punched me in my mouth one time, he would bang my head up against the wall, but he would mostly ALWAYS Choke&Slap me and im just so ASHAMED of myself for staying for 5 years. Im heartbroken on so many levels that i feel i cant get into another relationship because i am so scared",1
"I am all over place I was abused for years almost died being chocked to death alot of bad things in the hands of my kids father.He did change at end he passed two yrs ago suddenly.I am ashamed I put up with it alot people ask me how I grieve for him when hurt me?my kids love and miss him.I am suffering in silence don't wanna talk bad in front my kids.I was mentally, verbally, physically abused.Its me with no self Worth left.He put me down and I believed him couple suscide attempts and they think I'm just nutz Because I never told because of him.He would show up and tell Dr I am nutz can he 302 me.He held all that against me.Why??I am all over I hate him,I love him,miss him but feel ashamed I stayed.",1
I know it's time to leave and I am finding the strength daily to leave my husband. One day he asked me if he has ever lied to me and I told him yes you did every time you say you will not hit me again and yet you did. Then he proceeds to tell me that he was drunk and he doesn't want to hit me or he doesn't remember hitting me. All I can think of is that he doesn't get it. A lie is a still a lie and a punch or choke is still just that. Any advice besides leave because I am already working and planning to leave carefully,1
"I’m scared, like really scared. Last night he flipped out on me after I went to sleep. He has never in 11 years ever woke me up to yell at me. He called me a slut a cunt a whore told me I was heartless that I’m using him for his money (every time I’ve tried to work he has threatened to leave while watching HIS kids). Then he told me if I wasn’t gonna give him sex he was going to cheat on me. Then he started Slamming doors and throwing shit and hitting furniture, his dresser is busted beyond repair 
He’s never gotten this out of control before, I think he knows somethings up or off and I’m so worried he’s gonna do something irreversible. 
It’s Sunday so I still have 20 hrs till the courthouse opens up",1
"Divorced my ex almost 2 years ago , went thru domestic violence court last year been fighting for custody for the last year and half and finally received full custody. We are still going thru a second domestic violence with him against our 12 year old daughter. We finally moved out of state and have been living our lives and now I have terrible dreams every night 😞 I wake up crying and panicked.  When does this all stop ?",1
"I’m struggling! I left my abusive relationship alive by the grace of god in October of 2019. I still struggle. I have good moments, and have made huge strides since then, but the PTSD is real and it’s difficult to deal with",1
Planning on up and moving away starting my own life with my child I’m scared assf never been on my own and having a hard time landing a job so I think imma try to get in a program/shelter  . trying to find the strength and the faith that I can do this and not loook back,1
"Really struggling and I need help. 
Today- he found his way to jail. He pushed me down, threw so much shit at me, bust my head open & I still feel horrible. My kids are begging for their daddy. I tried to get everything to end,   He came outside just as the cops were leaving, or he would have avoided being arrested. 
Why do I feel bad? Why do I want to wait for him no matter what? Why do I feel I can’t live without him, well financially I can’t. But I know this isn’t love. 
As I sit here, bawling my eyes out, while my girls cry for their daddy… I wonder how I’ll make my way out of this. How I’ll heal after 10 years, blaming myself because I instigate by running my mouth. 
I’ve never felt so low & alone in my entire life. 
How do you even begin to heal?Really struggling and I need help. 
Today- he found his way to jail. He pushed me down, threw so much shit at me, bust my head open & I still feel horrible. My kids are begging for their daddy. I tried to get everything to end,   He came outside just as the cops were leaving, or he would have avoided being arrested. 
Why do I feel bad? Why do I want to wait for him no matter what? Why do I feel I can’t live without him, well financially I can’t. But I know this isn’t love. 
As I sit here, bawling my eyes out, while my girls cry for their daddy… I wonder how I’ll make my way out of this. How I’ll heal after 10 years, blaming myself because I instigate by running my mouth. 
I’ve never felt so low & alone in my entire life. 
How do you even begin to heal?",1
I finally filled out an application for an apartment. I’m secretly hoping he chooses the other person who applied.  I’m having so many reservations about leaving. I keep thinking that if he physically abused me it would be easier to leave. I feel horrible for even thinking that. He doesn’t. That’s what makes me question whether or not it’s just me and I’m just being overly sensitive. He has two sides. A very loving incredible side and the side who is a narcissist. Please please help me find the strength to do what I have to do.,1
"Where do I begin? I'll start with saying I must be crazy. I was in an abusive marriage for 7 years...it ultimately ended with him setting my apartment on fire with me and my kids inside. That was in October 2019. I have a lifetime restraining order and my divorce was finalized in March 2020. Here's the problem... I'm lonely af and find myself missing the good times I had, missing companionship, and missing my ex-husband. I find myself crying all the time. At 38 I've been in a committed relationship or married to someone for 20 years. I'm so lost. My kids are 18 and 17 and I  just had a baby 8 months ago. Instead of being able to enjoy my newest blessing, I can't help but think about how hard life is alone...although it was hard living in the marriage too...
Like I said, it's a lot. Just needed to get it out b4 the depression gets the best of me",1
"Hi everyone tomorrow is sentencing. I will be reading my statement in person. I’m a nervous wreck. Any tips on keeping it together? I loved and still at times love him. He beat me, held me hostage at knife point and tried to kill me.. however I still will probably always love him. I just don’t know what to expect for tomorrow. I haven’t seen him since the incident he’s been in jail. Anyone know what it’ll be like seeing your abuser for the first time after incident and then going to prison. I’m so scared and nervous I’ve never stepped foot in a court room before. I just feel so sad. I keep reading my statement out loud to practice and I can’t get through it without crying so hard.",1
"Sorry for the long post just needing some advice 
I keep finding myself coming back to my abuser and I can’t figure out why I feel deep in my heart it’s because of our kids I’ve left many times the last time I left I got my own place when the lease ended I came back we’ve always kept in touch and in the beginning I remained strong about it being just about our kid’s but after him begging over and over I gave In and here I am again it’s been 4 months since I’ve moved back in he hasn’t physically touched me like before but he will start random little arguments then not talk to me for days idk what I do wrong I’m tired of trying to please this man all I wanted was my girls to grow up with both parents in the home and I truly believe I’ll never find another man that will love my kids like I do and like he does this is mentally draining I’m just looking for some advice will this ever end we will ever be a normal couple ? Has anyone’s partner every truly changed or am I just being stupid I’ve been dealing with this for 4 years now",1
"Hi. I’m new to the group. 
I don’t even know where to start. I was in my first ever domestic assault last night. He not only attacked me being 32 weeks pregnant, but also hit my oldest. I got home from the hospital this afternoon and All I want to do is cry. I don’t want to cry in front of my kids. But right now I don’t feel I can be strong at all. I feel like I have failed as a mom and it’s my fault. I don’t know what to do or how to handle it . I feel numb all ove",1
I recently 5 days ago reported my girls father of 4 years for Domestic violence he has been using meth and drinking cheating and I am a recovering alcoholic and addict also a mother to a 1 year old and a 2 month old and help take care of his 5 children.. I didnt know what to do or how to file a restraining order I was a day late he filed one before me claiming I was mentally unstable and saying I wanted to drown my girls after he found out I filed a police report for the abuse. I had to turn my girls over to DHS in which they are still in a foster home while he still got to keep his other 5 children in the home and lied said he was clean but gave a dirty UA for meth. He is playing victim acts one way to people and his family but then acts like he hates me. I am so confused as to how me turning in my abuser turned to me losing my girls but I am doing everything I need to get them back hopefully before Christmas or new years being I did a mental health assessment and of course nothing wrong with me. Im just reaching out hoping someone has the same story and advise I just need support.,1
"Hi I am new to this group. Just need some advice and support etc. I have just finished a 3 year relationship with someone I had 2 children with. I have taken out a non molestation order and dealing with the police over various assaults on me. Hes emotionally abused me also by endlessly cheating, throwing me out the house and hiding my keys, staying in awful moods with me for days on end. I am finally free from it which is all I ever wanted. And now that I am and it is the best outcome for me and my children I just feel so empty and upset. I am still wondering what hes doing and thinking about him, it hurts and I don't want to. What is the best way to get over this and when are these sad thoughts going to pass? I am not dealing with heartbreak well and I shouldn't really be heartbroken i should be glad it is over with",1
